"","diff","lwr","upr","p adj","significant"
"2009-2006",-80.359199999989,-119.124324765975,-41.594075234003,4.32734021948988e-08,"Different"
"2012-2006",-56.9226661127357,-95.6613029188362,-18.1840293066351,0.000101817765078893,"Different"
"2013-2006",-70.4977616438321,-109.262886409818,-31.7326368778461,2.36497901262567e-07,"Different"
"2014-2006",41.3596849315054,2.59456016551947,80.1248096974913,0.0246752418755551,"Different"
"2015-2006",44.3726767123271,5.60755194634119,83.1378014783131,0.0100322100070471,"Different"
"2016-2006",42.4013776031129,3.66274079701238,81.1400144092134,0.0180935205194968,"Different"
"2017-2006",42.9255709315055,4.16044616551956,81.6906956974914,0.0156185073871649,"Different"
"2009-2007",-101.080599999991,-139.845724765977,-62.3154752340048,4.23640393876212e-08,"Different"
"2012-2007",-77.6440661127374,-116.382702918838,-38.9054293066369,4.6493786820534e-08,"Different"
"2013-2007",-91.2191616438338,-129.98428640982,-52.4540368778479,4.23651547176718e-08,"Different"
"2009-2008",-94.4641896249598,-133.20282643106,-55.7255528188592,4.23642159130821e-08,"Different"
"2012-2008",-71.0276557377065,-109.739786460097,-32.3155250153156,1.8315560135207e-07,"Different"
"2013-2008",-84.6027512688029,-123.341388074903,-45.8641144627024,4.24352566419373e-08,"Different"
"2010-2009",79.044580821906,40.2794560559201,117.809705587892,4.42955443435977e-08,"Different"
"2011-2009",68.7031726027246,29.9380478367387,107.468297368711,5.21934095498722e-07,"Different"
"2014-2009",121.718884931494,82.9537601655084,160.48400969748,4.23640406088666e-08,"Different"
"2015-2009",124.731876712316,85.9667519463301,163.497001478302,4.23640422742011e-08,"Different"
"2016-2009",122.760577603102,84.0219407970013,161.499214409202,4.23640421631788e-08,"Different"
"2017-2009",123.284770931494,84.5196461655085,162.04989569748,4.23640376112644e-08,"Different"
"2012-2010",-55.6080469346527,-94.3466837407533,-16.8694101285522,0.000174345173789003,"Different"
"2013-2010",-69.1831424657491,-107.948267231735,-30.4180176997632,4.19724937250621e-07,"Different"
"2014-2010",42.6743041095883,3.90917934360239,81.4394288755743,0.0168335964610489,"Different"
"2015-2010",45.68729589041,6.92217112442411,84.452420656396,0.00660279347307535,"Different"
"2016-2010",43.7159967811958,4.9773599750953,82.4546335872963,0.0121806667137279,"Different"
"2017-2010",44.2401901095884,5.47506534360248,83.0053148755743,0.0104553180852534,"Different"
"2012-2011",-45.2666387154713,-84.0052755215719,-6.52800190937082,0.00748632326685905,"Different"
"2013-2011",-58.8417342465677,-97.6068590125537,-20.0766094805818,4.61744535029673e-05,"Different"
"2014-2011",53.0157123287697,14.2505875627838,91.7808370947557,0.000491447619501484,"Different"
"2015-2011",56.0287041095914,17.2635793436055,94.7938288755774,0.000149294936347744,"Different"
"2016-2011",54.0574050003772,15.3187681942767,92.7960418064777,0.000323360153963614,"Different"
"2017-2011",54.5815983287698,15.8164735627839,93.3467230947557,0.000266871192102891,"Different"
"2014-2012",98.2823510442411,59.5437142381405,137.020987850342,4.23640674762638e-08,"Different"
"2015-2012",101.295342825063,62.5567060189623,140.033979631163,4.2364037833309e-08,"Different"
"2016-2012",99.3240437158486,60.6119129934577,138.036174438239,4.23640535984759e-08,"Different"
"2017-2012",99.8482370442412,61.1096002381406,138.586873850342,4.23640490465615e-08,"Different"
"2014-2013",111.857446575337,73.0923218093515,150.622571341323,4.2364035279796e-08,"Different"
"2015-2013",114.870438356159,76.1053135901733,153.635563122145,4.23640416080673e-08,"Different"
"2016-2013",112.899139246945,74.1605024408445,151.637776053045,4.23640331703723e-08,"Different"
"2017-2013",113.423332575338,74.6582078093516,152.188457341323,4.23640298397032e-08,"Different"
